iter	Passed	Remaining
0	168	168076
1	176	88216
2	184	61390
3	193	48203
4	201	40096
5	209	34663
6	216	30768
7	224	27861
8	232	25612
9	240	23821
10	248	22320
11	258	21296
12	267	20287
13	277	19530
14	286	18784
15	294	18120
16	303	17526
17	311	16989
18	320	16536
19	328	16088
20	335	15644
21	343	15262
22	350	14883
23	358	14584
24	365	14257
25	374	14014
26	382	13775
27	389	13532
28	400	13402
29	407	13190
30	415	12995
31	423	12797
32	430	12601
33	439	12478
34	446	12308
35	454	12165
36	462	12030
37	470	11920
38	477	11775
39	485	11662
40	493	11540
41	501	11429
42	508	11323
43	516	11220
44	524	11128
45	532	11047
46	540	10956
47	548	10877
48	556	10800
49	564	10723
50	571	10637
51	579	10557
52	586	10474
53	592	10387
54	600	10310
55	606	10230
56	614	10159
57	621	10090
58	628	10024
59	635	9956
60	642	9884
61	649	9823
62	655	9755
63	662	9695
64	670	9650
65	678	9600
66	685	9546
67	692	9493
68	699	9440
69	706	9387
70	713	9329
71	720	9280
72	728	9246
73	735	9201
74	742	9162
75	750	9118
76	757	9080
77	764	9035
78	771	8999
79	778	8950
80	785	8912
81	793	8886
82	800	8849
83	808	8815
84	815	8779
85	822	8740
86	829	8700
87	835	8660
88	842	8625
89	849	8593
90	857	8565
91	865	8537
92	871	8503
93	879	8474
94	886	8444
95	892	8406
96	899	8377
97	907	8348
98	914	8323
99	921	8296
100	929	8274
101	936	8240
102	942	8210
103	949	8176
104	956	8150
105	963	8129
106	971	8110
107	979	8093
108	989	8085
109	997	8067
110	1004	8048
111	1012	8029
112	1021	8018
113	1029	8002
114	1037	7984
115	1045	7966
116	1054	7954
117	1061	7937
118	1069	7921
119	1077	7904
120	1086	7889
121	1094	7874
122	1102	7861
123	1110	7843
124	1118	7829
125	1127	7817
126	1136	7811
127	1144	7799
128	1157	7812
129	1166	7807
130	1174	7792
131	1182	7773
132	1191	7765
133	1199	7752
134	1207	7737
135	1214	7717
136	1222	7701
137	1230	7683
138	1236	7662
139	1244	7642
140	1251	7625
141	1259	7607
142	1267	7596
143	1276	7586
144	1283	7569
145	1291	7553
146	1299	7537
147	1307	7525
148	1315	7515
149	1323	7502
150	1332	7490
151	1339	7475
152	1348	7463
153	1356	7452
154	1366	7451
155	1377	7450
156	1385	7438
157	1392	7421
158	1400	7409
159	1407	7391
160	1416	7379
161	1423	7365
162	1431	7352
163	1439	7337
164	1447	7323
165	1454	7307
166	1463	7297
167	1472	7290
168	1481	7285
169	1489	7273
170	1497	7258
171	1505	7246
172	1514	7241
173	1522	7225
174	1531	7219
175	1542	7220
176	1552	7217
177	1560	7208
178	1571	7208
179	1582	7208
180	1590	7196
181	1598	7185
182	1606	7173
183	1615	7163
184	1623	7153
185	1632	7143
186	1641	7136
187	1650	7130
188	1665	7148
189	1680	7165
190	1692	7167
191	1706	7179
192	1717	7179
193	1727	7176
194	1735	7165
195	1744	7154
196	1752	7143
197	1760	7130
198	1768	7118
199	1776	7106
200	1785	7097
201	1793	7086
202	1802	7075
203	1810	7066
204	1818	7053
205	1825	7037
206	1834	7026
207	1841	7012
208	1850	7002
209	1858	6990
210	1866	6980
211	1875	6970
212	1883	6960
213	1892	6950
214	1901	6941
215	1910	6933
216	1919	6926
217	1927	6915
218	1936	6904
219	1944	6892
220	1952	6881
221	1960	6871
222	1969	6861
223	1977	6851
224	1987	6844
225	1995	6834
226	2003	6821
227	2011	6810
228	2018	6796
229	2026	6784
230	2034	6773
231	2042	6761
232	2050	6748
233	2058	6737
234	2066	6726
235	2074	6715
236	2082	6703
237	2089	6690
238	2098	6681
239	2105	6668
240	2114	6659
241	2122	6646
242	2129	6634
243	2139	6628
244	2149	6623
245	2162	6627
246	2172	6623
247	2182	6618
248	2195	6620
249	2205	6616
250	2215	6611
251	2232	6626
252	2248	6638
253	2264	6650
254	2288	6686
255	2304	6698
256	2321	6711
257	2335	6717
258	2346	6714
259	2357	6709
260	2366	6700
261	2374	6687
262	2382	6675
263	2390	6663
264	2398	6651
265	2406	6639
266	2414	6628
267	2422	6616
268	2429	6602
269	2438	6593
270	2447	6583
271	2454	6570
272	2462	6557
273	2470	6545
274	2477	6530
275	2485	6519
276	2493	6507
277	2501	6496
278	2509	6484
279	2518	6475
280	2526	6464
281	2534	6453
282	2541	6439
283	2548	6425
284	2555	6412
285	2563	6398
286	2570	6385
287	2577	6371
288	2584	6357
289	2591	6345
290	2601	6337
291	2611	6331
292	2620	6324
293	2630	6316
294	2641	6313
295	2652	6308
296	2662	6301
297	2674	6301
298	2685	6295
299	2695	6289
300	2707	6288
301	2718	6282
302	2728	6276
303	2741	6275
304	2750	6268
305	2764	6270
306	2775	6265
307	2784	6254
308	2792	6244
309	2799	6230
310	2806	6217
311	2813	6203
312	2819	6188
313	2826	6175
314	2833	6162
315	2841	6151
316	2848	6138
317	2855	6124
318	2862	6110
319	2868	6095
320	2875	6081
321	2882	6069
322	2889	6056
323	2897	6045
324	2904	6031
325	2910	6017
326	2916	6003
327	2924	5990
328	2931	5978
329	2938	5966
330	2945	5953
331	2952	5940
332	2959	5927
333	2965	5913
334	2972	5901
335	2979	5888
336	2987	5876
337	2993	5863
338	3000	5850
339	3006	5836
340	3013	5824
341	3021	5812
342	3028	5801
343	3035	5788
344	3042	5775
345	3048	5762
346	3056	5751
347	3063	5738
348	3070	5727
349	3077	5715
350	3084	5703
351	3090	5689
352	3097	5676
353	3104	5664
354	3111	5653
355	3119	5642
356	3126	5630
357	3132	5618
358	3139	5606
359	3148	5597
360	3156	5586
361	3162	5573
362	3169	5561
363	3176	5550
364	3184	5539
365	3191	5528
366	3198	5516
367	3205	5504
368	3211	5491
369	3218	5480
370	3225	5468
371	3233	5458
372	3240	5446
373	3246	5434
374	3254	5423
375	3260	5411
376	3268	5400
377	3275	5389
378	3283	5379
379	3290	5369
380	3298	5358
381	3304	5346
382	3311	5334
383	3317	5322
384	3325	5311
385	3332	5300
386	3339	5289
387	3346	5278
388	3353	5266
389	3360	5256
390	3367	5244
391	3374	5234
392	3381	5223
393	3389	5213
394	3396	5202
395	3403	5191
396	3410	5180
397	3417	5169
398	3424	5157
399	3431	5146
400	3438	5136
401	3446	5126
402	3453	5115
403	3459	5104
404	3466	5093
405	3473	5082
406	3480	5071
407	3488	5061
408	3495	5050
409	3503	5041
410	3509	5030
411	3516	5018
412	3523	5008
413	3530	4996
414	3536	4985
415	3547	4979
416	3554	4968
417	3561	4958
418	3568	4948
419	3575	4938
420	3582	4926
421	3589	4916
422	3595	4904
423	3602	4893
424	3609	4883
425	3616	4873
426	3623	4862
427	3630	4851
428	3636	4840
429	3643	4829
430	3650	4819
431	3658	4809
432	3665	4799
433	3673	4790
434	3680	4780
435	3687	4770
436	3693	4758
437	3700	4748
438	3707	4738
439	3716	4729
440	3723	4719
441	3729	4708
442	3736	4698
443	3742	4686
444	3749	4676
445	3756	4666
446	3763	4656
447	3770	4645
448	3777	4635
449	3784	4624
450	3791	4615
451	3798	4605
452	3805	4595
453	3812	4585
454	3819	4574
455	3826	4564
456	3832	4553
457	3839	4543
458	3846	4533
459	3853	4523
460	3860	4513
461	3867	4503
462	3873	4492
463	3880	4482
464	3888	4473
465	3895	4464
466	3904	4456
467	3912	4447
468	3920	4439
469	3929	4430
470	3937	4422
471	3947	4416
472	3957	4409
473	3965	4400
474	3971	4390
475	3978	4380
476	3986	4370
477	3994	4361
478	4002	4353
479	4009	4343
480	4016	4333
481	4023	4323
482	4029	4313
483	4036	4303
484	4044	4294
485	4051	4284
486	4059	4275
487	4066	4266
488	4072	4256
489	4079	4245
490	4086	4236
491	4094	4227
492	4101	4218
493	4108	4208
494	4116	4199
495	4123	4190
496	4131	4181
497	4138	4171
498	4145	4161
499	4152	4152
500	4158	4141
501	4165	4132
502	4172	4122
503	4180	4113
504	4187	4104
505	4194	4095
506	4201	4085
507	4209	4076
508	4217	4068
509	4225	4059
510	4233	4051
511	4242	4043
512	4253	4037
513	4264	4032
514	4279	4029
515	4291	4025
516	4304	4021
517	4319	4019
518	4330	4013
519	4345	4011
520	4361	4009
521	4375	4006
522	4387	4001
523	4401	3997
524	4412	3992
525	4424	3987
526	4435	3980
527	4445	3973
528	4453	3965
529	4461	3956
530	4470	3948
531	4478	3939
532	4486	3931
533	4495	3922
534	4503	3914
535	4511	3905
536	4519	3896
537	4526	3887
538	4533	3877
539	4540	3867
540	4547	3858
541	4555	3849
542	4562	3839
543	4569	3830
544	4576	3820
545	4582	3810
546	4590	3801
547	4597	3791
548	4604	3782
549	4612	3773
550	4619	3764
551	4626	3754
552	4633	3745
553	4641	3736
554	4647	3726
555	4655	3717
556	4662	3708
557	4670	3699
558	4679	3691
559	4689	3684
560	4699	3677
561	4709	3670
562	4720	3663
563	4735	3660
564	4744	3652
565	4754	3645
566	4766	3640
567	4779	3634
568	4790	3628
569	4800	3621
570	4810	3614
571	4822	3608
572	4832	3600
573	4839	3591
574	4846	3582
575	4853	3572
576	4860	3562
577	4867	3553
578	4874	3544
579	4882	3535
580	4889	3526
581	4896	3516
582	4902	3506
583	4909	3496
584	4916	3487
585	4923	3478
586	4931	3469
587	4939	3460
588	4946	3451
589	4952	3441
590	4959	3432
591	4966	3422
592	4973	3413
593	4980	3404
594	4988	3395
595	4995	3385
596	5001	3376
597	5008	3367
598	5015	3357
599	5022	3348
600	5030	3339
601	5037	3330
602	5044	3321
603	5051	3311
604	5058	3302
605	5064	3293
606	5071	3283
607	5079	3274
608	5086	3265
609	5094	3257
610	5101	3248
611	5109	3239
612	5116	3229
613	5123	3220
614	5132	3213
615	5139	3204
616	5146	3194
617	5153	3185
618	5161	3176
619	5168	3168
620	5176	3159
621	5183	3150
622	5190	3141
623	5197	3131
624	5203	3122
625	5210	3113
626	5218	3104
627	5225	3095
628	5233	3086
629	5241	3078
630	5248	3069
631	5255	3060
632	5262	3051
633	5269	3041
634	5276	3032
635	5283	3024
636	5291	3015
637	5298	3006
638	5305	2997
639	5311	2987
640	5318	2978
641	5325	2969
642	5332	2960
643	5340	2952
644	5347	2943
645	5355	2934
646	5361	2925
647	5368	2916
648	5375	2907
649	5382	2898
650	5389	2889
651	5397	2880
652	5404	2872
653	5411	2862
654	5418	2853
655	5424	2844
656	5431	2835
657	5439	2826
658	5446	2818
659	5454	2809
660	5461	2801
661	5468	2792
662	5475	2783
663	5481	2773
664	5488	2764
665	5495	2756
666	5503	2747
667	5509	2738
668	5518	2730
669	5525	2721
670	5532	2712
671	5538	2703
672	5545	2694
673	5553	2686
674	5560	2677
675	5567	2668
676	5576	2660
677	5583	2651
678	5593	2644
679	5602	2636
680	5611	2628
681	5622	2621
682	5632	2614
683	5643	2607
684	5654	2600
685	5665	2593
686	5674	2585
687	5683	2577
688	5692	2569
689	5703	2562
690	5712	2554
691	5722	2547
692	5731	2538
693	5740	2531
694	5749	2523
695	5760	2516
696	5767	2507
697	5774	2498
698	5781	2489
699	5788	2480
700	5796	2472
701	5802	2463
702	5809	2454
703	5815	2445
704	5822	2436
705	5830	2427
706	5837	2419
707	5844	2410
708	5851	2401
709	5858	2393
710	5866	2384
711	5873	2375
712	5880	2367
713	5887	2358
714	5895	2349
715	5903	2341
716	5910	2333
717	5917	2324
718	5924	2315
719	5930	2306
720	5938	2298
721	5945	2289
722	5952	2280
723	5960	2272
724	5967	2263
725	5974	2254
726	5981	2246
727	5987	2237
728	5994	2228
729	6001	2219
730	6008	2210
731	6014	2202
732	6021	2193
733	6027	2184
734	6034	2175
735	6042	2167
736	6049	2158
737	6057	2150
738	6064	2141
739	6071	2133
740	6077	2124
741	6084	2115
742	6092	2107
743	6099	2098
744	6107	2090
745	6114	2081
746	6121	2073
747	6128	2064
748	6134	2055
749	6141	2047
750	6148	2038
751	6155	2030
752	6162	2021
753	6169	2012
